timestamp	run_id	n_layer	n_embd	n_head	embedding_lr	unembedding_lr	matrix_lr	scalar_lr	weight_decay	warmup_ratio	batch_size	val_bpb	training_time	peak_vram_mb	mfu_percent	num_params_M	num_steps	depth	status	holdout_val_bpb	budget_shortfall_pct	device	region_id	window_s_fraction	seed	startup_seconds	eval_seconds	total_tokens_M
2026-08-21T13:14:15	random_0000	15	828	6	1.113595772714402	0.002359124753176587	0.012994817094353113	0.32965736279299407	0.20246706872520714	0.15675971780695452	4748	1.449429	241.5	5648.4	1.68	191.2	1024	15	remote_ok		0.0	5		0.8444218515250481	42	2.4	47.4	4.2
2026-08-21T13:18:36	random_0001	15	828	6	0.5448933494161204	0.014250211997951914	0.03217426423495427	0.14141358715143323	0.37790210207861197	0.12367379933506634	4102	1.459324	207.4	5045.5	2.08	191.2	1024	15	remote_ok		0.0	5		0.4765969541523558	42	2.4	36.4	4.2
2026-08-21T13:23:07	random_0002	15	828	6	2.7958330047165334	0.00993085457900493	0.1394100166520866	0.15698025005912644	0.3649158741300643	0.1797676575935987	13644	1.485699	202.8	5753.5	1.93	191.2	293	15	remote_ok		0.0	5		0.9097462559682401	42	2.6	49.2	4.2
2026-08-21T13:26:43	random_0003	15	828	6	0.0755147838064338	0.0024805005706179765	0.047604453489126765	1.4510035813802733	0.4833031838853794	0.09540195531054341	22556	1.653291	157.0	5045.5	2.63	191.2	187	15	remote_ok		0.0	5		0.47214271545271336	42	2.4	36.4	4.2
2026-08-21T13:30:08	random_0004	15	828	6	1.350303027955802	0.0037845932136807473	0.005265815643704924	0.711180905911434	0.19941177111213437	0.1649689954296466	13058	1.686985	156.5	4747.0	2.78	191.2	342	15	remote_ok		0.0	5		0.2604923103919594	42	2.2	31.1	4.2
2026-08-21T13:33:21	random_0005	15	828	6	0.37724726923885726	0.012272179511989577	0.012295037612304313	0.16594604369780244	0.4352356160543273	0.038213418300478114	9878	1.51804	150.3	4445.1	2.99	191.2	410	15	remote_ok		0.0	5		0.0011428193144282783	42	2.3	25.8	4.2
2026-08-21T13:36:44	random_0006	15	828	6	2.626654252414744	0.009676352879365023	0.02610021783783449	0.0672742758586903	0.16002730233627288	0.10158812850411479	27200	1.629286	146.1	4747.0	2.88	191.2	158	15	remote_ok		0.0	5		0.23861592861522019	42	2.5	31.2	4.2
2026-08-21T13:40:05	random_0007	15	828	6	0.47775643708909554	0.006775225750839842	0.03767065624992612	1.0087760905425112	0.270141803485162	0.1927677091947602	10905	1.476176	154.4	4545.2	2.89	191.2	410	15	remote_ok		0.0	5		0.10905784593110368	42	2.5	27.6	4.2
2026-08-21T13:44:41	random_0008	15	828	6	0.30919167913631684	0.004510839020916619	0.02068258086036402	0.41802038710792266	0.145164751201379	0.03787826571087123	3437	1.430943	218.8	5247.7	1.93	191.2	1024	15	remote_ok		0.0	5		0.5876170641754364	42	2.4	40.2	4.2
2026-08-21T13:48:30	random_0009	15	828	6	0.7355457965450803	0.0029000216576276043	0.006964244656731168	0.8178938394248345	0.4383851854113874	0.18467620318925615	21172	1.737816	168.4	5247.7	2.41	191.2	205	15	remote_ok		0.0	5		0.6127731798686067	42	2.3	40.3	4.2
2026-08-21T13:52:48	random_0010	15	828	6	2.1895264649686133	0.003673191032698453	0.021176283923268424	0.6743359632243369	0.13781706065606358	0.1623257417015757	21588	1.659748	187.6	5648.4	2.07	191.2	187	15	remote_ok		0.0	5		0.898173121357879	42	2.1	47.3	4.2
2026-08-21T13:57:09	random_0011	15	828	6	0.5594041917359789	0.01661691157828814	0.042430308382856684	0.26351123173718866	0.3301226893111945	0.19925156787071455	26028	1.640567	183.9	5648.4	2.09	191.2	158	15	remote_ok		0.0	5		0.8950389674266752	42	2.3	47.7	4.2
2026-08-21T14:01:39	random_0012	15	828	6	0.07005540309075588	0.004793859487237917	0.030080343983893493	0.5110976064028343	0.4225387878357576	0.04860712441237125	15564	1.622524	189.1	5551.5	2.1	191.2	256	15	remote_ok		0.0	5		0.7933250841302242	42	2.5	45.7	4.2
2026-08-21T14:05:06	random_0013	15	828	6	0.12330542477276862	0.009374316086030244	0.01704954779415162	1.0141722723667812	0.0503037601080481	0.029271697782460773	14171	1.64705	150.2	4541.4	2.94	191.2	293	15	remote_ok		0.0	5		0.11713429320851798	42	2.2	27.7	4.2
2026-08-21T14:08:30	random_0014	15	828	6	0.5240715876276993	0.014350606397495446	0.03587461068305038	0.6156226983695327	0.013348397331102602	0.12699998198229165	11001	1.492059	152.6	4445.1	2.95	191.2	410	15	remote_ok		0.0	5		0.04523406786561235	42	2.5	25.9	4.2
2026-08-21T14:13:10	random_0015	15	828	6	0.2480844278673592	0.0019586480023192237	0.1861300530681238	0.057183697285258885	0.010818254927512039	0.19220625604792224	3420	1.65838	218.2	5247.7	1.93	191.2	1024	15	remote_ok		0.0	5		0.5759529480315407	42	2.3	40.0	4.2
2026-08-21T14:17:07	random_0016	15	828	6	0.11841504618180554	0.009589900031043251	0.15850786141125198	0.054383738292329474	0.21280941598340858	0.020300043874833952	4210	1.612704	190.0	4545.0	2.38	191.2	1024	15	remote_ok		0.0	5		0.12389516442443171	42	2.5	27.6	4.2
2026-08-21T14:20:29	random_0017	15	828	6	0.7068085298212861	0.0018203795779732274	0.009724115309256763	0.3204984248995441	0.01968935354234619	0.020184248237793325	31716	1.837534	142.8	4649.6	2.94	191.2	137	15	remote_ok		0.0	5		0.22082927131631735	42	2.1	29.3	4.2
2026-08-21T14:23:44	random_0018	15	828	6	0.2170378915227538	0.007430779605485751	0.11015886537917036	1.4805850799000826	0.08471230304873384	0.13452811271461051	29866	1.688594	141.5	4649.6	2.97	191.2	137	15	remote_ok		0.0	5		0.19935579046706298	42	2.6	29.4	4.2
2026-08-21T14:27:38	random_0019	15	828	6	0.7968178466623601	0.011308133359617566	0.01767564338739724	0.1260625712264739	0.2983956967347055	0.0884628067398158	3325	1.449811	192.2	4445.1	2.37	191.2	1024	15	remote_ok		0.0	5		0.05805094382649867	42	2.1	25.6	4.2
2026-08-21T14:31:58	random_0020	15	828	6	0.2678204874587507	0.0040805880639284905	0.03264208747588927	0.15773395104156324	0.17857584129513143	0.16753223487379582	4107	1.435946	208.7	5045.5	2.06	191.2	1024	15	remote_ok		0.0	5		0.47162541509628797	42	2.5	36.5	4.2
2026-08-21T14:35:42	random_0021	15	828	6	0.05261186053600471	0.007709330156484635	0.01726348519540665	0.059180486148278005	0.14044158210917412	0.0480260815652708	28775	1.769718	160.8	5146.9	2.51	191.2	147	15	remote_ok		0.0	5		0.560600218853524	42	2.4	38.6	4.2
2026-08-21T14:39:28	random_0022	15	828	6	0.162502661598652	0.001881186577297929	0.1644257983487265	0.5179312112773028	0.31053842280933364	0.14312387006029126	6006	1.532727	179.5	4840.0	2.43	191.2	683	15	remote_ok		0.0	5		0.35222556151550743	42	2.1	32.9	4.2
2026-08-21T14:43:23	random_0023	15	828	6	0.7182064021779134	0.0005028192537857788	0.010163924405569173	0.17167283296483424	0.11970798009297928	0.12747988022586007	5852	1.570256	183.6	4947.9	2.36	191.2	683	15	remote_ok		0.0	5		0.4144179882772473	42	2.1	34.8	4.2
2026-08-21T14:49:23	random_0024	15	828	6	0.5119519055478587	0.002306077575082249	0.022050883318962614	0.6657990414515376	0.20911327664623303	0.1324391777947635	2332	1.460944	299.2	5010.9	1.36	191.2	2048	15	remote_ok		0.0	5		0.8754233917130172	42	2.4	47.6	4.2
2026-08-21T14:53:03	random_0025	15	828	6	0.14451558404879514	0.0008945267920761814	0.03500852463565616	0.3017162692319566	0.28070246280721345	0.15109695345173652	23748	1.723324	156.9	5045.5	2.61	191.2	171	15	remote_ok		0.0	5		0.44535218971882984	42	2.2	36.6	4.2
2026-08-21T14:56:37	random_0026	15	828	6	0.17941418035737994	0.002798719507187273	0.09888035195185921	1.261242685997204	0.40620746618187953	0.0376002588101656	32715	1.710558	151.2	5045.5	2.65	191.2	128	15	remote_ok		0.0	5		0.4945826703752868	42	2.5	36.8	4.2
2026-08-21T15:01:10	random_0027	15	828	6	0.07036991784035707	0.00726694057442076	0.19050975405436948	0.22014288772962845	0.33925750262098414	0.06323542744426847	3702	1.653222	220.0	5247.7	1.92	191.2	1024	15	remote_ok		0.0	5		0.6330887599183004	42	2.6	40.4	4.2
2026-08-21T15:05:14	random_0028	15	828	6	0.05048497098429151	0.010400041702588559	0.03510847418610679	0.07171770543374792	0.05945194739237292	0.12985308497923073	23084	1.702217	177.3	5447.6	2.24	191.2	187	15	remote_ok		0.0	5		0.7173241433110372	42	2.4	43.9	4.2
2026-08-21T15:08:44	random_0029	15	828	6	2.7473754124033105	0.000723544885839534	0.1166890448022774	0.21602354006093202	0.04067270838411707	0.05494276868385242	7191	1.537286	164.5	4747.0	2.67	191.2	512	15	remote_ok		0.0	5		0.27998274332687256	42	2.5	31.1	4.2
