timestamp	run_id	n_layer	n_embd	n_head	embedding_lr	unembedding_lr	matrix_lr	scalar_lr	weight_decay	warmup_ratio	batch_size	val_bpb	training_time	peak_vram_mb	mfu_percent	num_params_M	num_steps	depth	status	holdout_val_bpb	budget_shortfall_pct	device	region_id	window_s_fraction	seed
2026-08-10T17:51:50	geom_r0.02_c0_s42	21	960	6	0.09880416867949857	0.00442945749282056	0.024380745963318826	0.2173046332581965	0.0880171563712802	0.16910463837821466	21945	1.247368	639.5	7317.0	3.62	334.5	555	21	remote_ok		0.0	6		0.3566586116209358	42
2026-08-10T17:51:52	geom_r0.02_c1_s42	21	960	6	0.09559760426680777	0.003939743729260133	0.023985827634095486	0.2005682988286126	0.0826454361363362	0.16836821886039444	22136	1.248218	641.2	7317.0	3.61	334.5	555	21	remote_ok		0.0	1		0.34483082270872784	42
2026-08-10T17:52:13	geom_r0.02_c1_s2	21	960	6	0.09559760426680777	0.003939743729260133	0.023985827634095486	0.2005682988286126	0.0826454361363362	0.16836821886039444	22136	1.249109	661.2	7320.8	3.5	334.5	555	21	remote_ok		0.0	5		0.34483082270872784	2
2026-08-10T17:53:23	geom_r0.02_c1_s1	21	960	6	0.09559760426680777	0.003939743729260133	0.023985827634095486	0.2005682988286126	0.0826454361363362	0.16836821886039444	22136	1.250856	709.2	7317.0	3.26	334.5	555	21	remote_ok		0.0	0		0.34483082270872784	1
2026-08-10T18:09:33	geom_r0.02_c3_s42	21	960	6	0.07945407649758664	0.003745838650269267	0.023104952045965136	0.2110935772521052	0.08437226668292752	0.17262124539958895	23161	1.250854	654.8	7325.1	3.51	334.5	555	21	remote_ok		0.0	5		0.38701939826666826	42
2026-08-10T18:09:35	geom_r0.02_c2_s42	21	960	6	0.08883292101673498	0.0038044666303803532	0.02328165253740493	0.18600692571840965	0.1076453434518782	0.16747911340487662	23243	1.247989	654.8	7325.1	3.51	334.5	555	21	remote_ok		0.0	6		0.3784327011869079	42
2026-08-10T18:09:54	geom_r0.02_c2_s1	21	960	6	0.08883292101673498	0.0038044666303803532	0.02328165253740493	0.18600692571840965	0.1076453434518782	0.16747911340487662	23243	1.252581	665.5	7325.1	3.46	334.5	555	21	remote_ok		0.0	1		0.3784327011869079	1
2026-08-10T18:11:24	geom_r0.02_c2_s2	21	960	6	0.08883292101673498	0.0038044666303803532	0.02328165253740493	0.18600692571840965	0.1076453434518782	0.16747911340487662	23243	1.250616	735.4	7325.1	3.13	334.5	555	21	remote_ok		0.0	0		0.3784327011869079	2
2026-08-10T18:27:27	geom_r0.05_c0_s42	21	960	6	0.07966888596020537	0.004529198504537652	0.01795074992179775	0.2942979450188379	0.08815548229755502	0.17897337343683975	26083	1.266388	643.2	7325.1	3.57	334.5	470	21	remote_ok		0.0	5		0.391207934611402	42
2026-08-10T18:27:40	geom_r0.02_c4_s42	21	960	6	0.07853220589607403	0.0040748958659892	0.02556711387857187	0.21438889930526572	0.08889554558757408	0.17159166709248083	21160	1.248217	661.1	7325.1	3.49	334.5	611	21	remote_ok		0.0	6		0.3666688510594371	42
